date,name,category,value
2024/1/1,中国电子信息产业集团,,250475.5557
2024/1/1,蜀道投资集团有限责任公�?Media,,0
2024/1/1,中国中煤能源集团,,250285.1736
2024/1/1,铜陵有色金属集团控股,,249439.4243
2024/1/1,长江和记实业,,249123.0645
2024/1/1,拼多�?Beverages,,0
2024/1/1,广达电脑,,246719.5795
2024/1/1,友邦保险控股,,246654.4674
2024/1/1,中国中车集团,,244309.7248
2024/1/1,上海德龙钢铁集团,,243458.3136
2024/1/1,北京建龙重工集团,,241124.187
2024/1/1,陕西建工控股集团,,241062.6137
2024/1/1,台湾中油,,239950.0464
2024/1/1,通威集团,,238729.9026
2024/1/1,首钢集团,,237951.3886
2024/1/1,山西焦煤集团有限责任公司,,237327.8697
2024/1/1,广西投资集团,,236584.0349
2024/1/1,湖南钢铁集团,,235994.4875
2024/1/1,中国航空油料集团,,233442.3771
2024/1/1,立讯精密工业,,231845.0079
2024/1/1,辽宁方大集团实业,,225144.8333
2024/1/1,安徽海螺集团有限责任公司,,216914.5249
2024/1/1,仁宝电脑工业,,215153.6677
2024/1/1,新疆广汇实业投资（集团）有限责任公司,,214548.55
2024/1/1,潍柴动力,,213903.7989
2024/1/1,云南省投资控股集�?Technology,,0
2024/1/1,国泰金融控股,,207047.9215
